FreqPair,Paired,Metric,Comparison,Test,Statistic,p_value
20 Hz (S: 20),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,8.0,0.6875
20 Hz (S: 20),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,27.0,0.5908209437621202
20 Hz (S: 20),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,35.0,0.883645765998707
20 Hz (S: 20),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,18.0,0.2060546875
20 Hz (S: 20),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
20 Hz (S: 20),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,39.0,0.5908209437621202
20 Hz (S: 20),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,50.0,0.0982546864899806
20 Hz (S: 20),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,23.0,0.4130859375
20 Hz (S: 20),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
20 Hz (S: 20),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,25.0,0.46234647705235943
20 Hz (S: 20),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,24.0,0.4043309631544926
24 Hz (S: 6),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,18.0,0.2060546875
24 Hz (S: 6),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,10.0,1.0
24 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,36.0,0.807530704589528
24 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,41.0,0.46234647705235943
24 Hz (S: 6),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,16.0,0.1474609375
24 Hz (S: 6),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
24 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,39.0,0.5908209437621202
24 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,48.0,0.14899806076276664
24 Hz (S: 6),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,25.0,0.51953125
24 Hz (S: 6),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
24 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,35.0,0.883645765998707
24 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,29.0,0.732546864899806
30 Hz (S: 10),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,14.0,0.1015625
30 Hz (S: 10),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,10.0,1.0
30 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,36.0,0.807530704589528
30 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,46.0,0.2160633484162896
30 Hz (S: 10),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,16.0,0.1474609375
30 Hz (S: 10),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,8.0,0.6875
30 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,43.0,0.3501939237233355
30 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,53.0,0.04767291531997415
30 Hz (S: 10),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,31.0,0.8984375
30 Hz (S: 10),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,10.0,1.0
