FreqPair,Paired,Metric,Comparison,Test,Statistic,p_value
20 Hz (S: 20),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,8.0,0.6875
20 Hz (S: 20),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,26.0,0.7127872127872128
20 Hz (S: 20),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,34.0,0.7127872127872128
20 Hz (S: 20),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,14.0,0.193359375
20 Hz (S: 20),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
20 Hz (S: 20),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,38.0,0.42782217782217785
20 Hz (S: 20),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,46.0,0.09340659340659341
20 Hz (S: 20),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,19.0,0.431640625
20 Hz (S: 20),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
20 Hz (S: 20),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,24.0,0.5621878121878122
20 Hz (S: 20),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,23.0,0.49225774225774227
24 Hz (S: 6),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,14.0,0.193359375
24 Hz (S: 6),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,10.0,1.0
24 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,34.0,0.7127872127872128
24 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,39.0,0.3676323676323677
24 Hz (S: 6),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,13.0,0.16015625
24 Hz (S: 6),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
24 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,38.0,0.42782217782217785
24 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,44.0,0.14710289710289712
24 Hz (S: 6),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,24.0,0.76953125
24 Hz (S: 6),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
24 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,32.0,0.8748751248751249
24 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,27.0,0.7924575424575424
30 Hz (S: 10),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,16.0,0.275390625
30 Hz (S: 10),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,10.0,1.0
30 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,33.0,0.7924575424575424
30 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,45.0,0.11788211788211789
30 Hz (S: 10),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,15.0,0.232421875
30 Hz (S: 10),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,8.0,0.6875
30 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,42.0,0.2197802197802198
30 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,48.0,0.05594405594405595
30 Hz (S: 10),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,26.0,0.921875
30 Hz (S: 10),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,10.0,1.0
30 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,25.0,0.6353646353646354
30 Hz (S: 10),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,21.0,0.3676323676323677
30 Hz (S: 6),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,20.0,0.4921875
30 Hz (S: 6),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,8.0,0.6875
30 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,35.0,0.6353646353646354
30 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,39.0,0.3676323676323677
30 Hz (S: 6),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,15.0,0.232421875
30 Hz (S: 6),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,8.0,0.6875
30 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,42.0,0.2197802197802198
30 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,48.0,0.05594405594405595
30 Hz (S: 6),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,25.0,0.845703125
30 Hz (S: 6),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,5.0,0.3125
30 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,32.0,0.8748751248751249
30 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,19.0,0.26348651348651353
36 Hz (S: 6),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,19.0,0.431640625
36 Hz (S: 6),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
36 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,35.0,0.6353646353646354
36 Hz (S: 6),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,53.0,0.010989010989010988
36 Hz (S: 6),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,17.0,0.322265625
36 Hz (S: 6),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,8.0,0.6875
36 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,41.0,0.26348651348651353
36 Hz (S: 6),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,51.0,0.02247752247752248
36 Hz (S: 6),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,24.0,0.76953125
36 Hz (S: 6),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
36 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t0,Mann-Whitney U,30.0,1.0
36 Hz (S: 6),False,Average_SNR,Responder vs Non-responder at t2,Mann-Whitney U,26.0,0.7127872127872128
40 Hz (S: 10),True,Average_PWR,Responder: t0 vs t2,Wilcoxon signed-rank,24.0,0.76953125
40 Hz (S: 10),True,Average_PWR,Non-responder: t0 vs t2,Wilcoxon signed-rank,10.0,1.0
40 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t0,Mann-Whitney U,35.0,0.6353646353646354
40 Hz (S: 10),False,Average_PWR,Responder vs Non-responder at t2,Mann-Whitney U,43.0,0.1805694305694306
40 Hz (S: 10),True,Average_BASE,Responder: t0 vs t2,Wilcoxon signed-rank,16.0,0.275390625
40 Hz (S: 10),True,Average_BASE,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
40 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t0,Mann-Whitney U,44.0,0.14710289710289712
40 Hz (S: 10),False,Average_BASE,Responder vs Non-responder at t2,Mann-Whitney U,52.0,0.015984015984015984
40 Hz (S: 10),True,Average_SNR,Responder: t0 vs t2,Wilcoxon signed-rank,18.0,0.375
40 Hz (S: 10),True,Average_SNR,Non-responder: t0 vs t2,Wilcoxon signed-rank,9.0,0.84375
