Frequency,Harmonic,Average,Fp1,Fpz,Fp2,F7,F3,Fz,F4,F8,FC5,FC1,FC2,FC6,M1,T7,C3,Cz,C4,T8,M2,CP5,CP1,CP2,CP6,P7,P3,Pz,P4,P8,POz,O1,O2,AF7,AF3,AF4,AF8,F5,F1,F2,F6,FC3,FCz,FC4,C5,C1,C2,C6,CP3,CP4,P5,P1,P2,P6,PO5,PO3,PO4,PO6,FT7,FT8,TP7,TP8,Oz
6,72,5.609,5.066,4.600,5.924,4.981,6.080,5.890,5.699,5.597,6.029,5.999,5.601,3.691,5.982,5.496,5.811,5.840,5.319,1.530,6.063,5.558,5.857,6.328,5.494,6.846,5.830,5.776,5.787,6.038,5.281,6.175,6.089,4.542,5.840,6.014,6.205,5.512,6.028,5.949,5.901,6.267,5.965,4.828,5.563,6.017,5.444,3.341,5.916,5.876,6.375,6.389,6.106,6.244,7.061,6.736,6.726,6.596,4.933,1.211,5.252,4.796,6.277
6,78,4.294,3.280,3.734,3.392,3.818,4.147,4.267,4.367,3.910,4.366,5.077,4.675,3.455,4.801,5.287,4.889,4.909,4.062,1.201,4.148,4.396,4.281,4.859,3.805,4.900,5.201,4.422,4.668,4.486,4.713,4.874,4.500,4.988,4.118,4.351,3.868,3.919,4.484,4.267,4.224,4.801,5.053,4.079,4.401,4.881,4.633,3.443,5.009,4.639,4.848,4.761,4.423,3.839,5.080,4.598,4.824,4.297,2.805,0.309,4.762,4.181,5.169
6,84,4.455,3.979,4.551,4.095,2.847,4.749,5.123,4.755,5.230,3.336,5.399,4.931,2.950,4.244,4.381,4.649,5.034,5.033,2.426,5.695,4.409,4.228,4.666,4.617,4.808,4.757,4.815,4.894,4.674,4.466,4.791,5.473,3.290,4.586,5.218,4.385,3.681,5.362,5.382,5.026,4.490,5.052,5.120,4.162,4.649,5.279,2.430,4.444,4.649,4.542,4.653,4.900,4.475,5.576,4.592,5.447,4.675,1.865,0.631,4.773,3.032,5.399
6,90,1.357,-0.322,0.929,1.596,0.351,1.614,1.958,1.970,1.176,1.927,2.399,2.506,1.470,1.574,2.018,2.143,2.083,0.365,0.229,1.619,2.072,1.100,1.557,1.272,2.070,1.218,1.348,0.806,1.358,0.863,1.043,1.328,0.013,1.392,1.450,1.748,1.153,1.339,1.507,1.112,2.337,2.366,1.869,1.472,2.054,2.185,0.114,2.112,1.193,1.447,1.451,1.483,0.990,1.671,1.654,1.857,1.066,-0.378,-0.987,1.607,0.783,1.097
6,96,2.663,1.281,1.630,2.316,1.124,2.016,2.456,2.581,2.200,2.641,3.611,3.345,-0.037,3.534,3.135,3.560,3.831,2.236,1.169,2.660,3.003,3.136,2.767,2.527,3.883,2.938,3.227,2.274,2.655,2.546,3.436,2.991,1.317,2.129,2.563,1.858,2.243,2.435,2.627,2.061,3.618,4.030,2.629,3.782,4.056,3.528,2.263,4.072,2.919,3.510,3.144,2.770,2.313,2.981,3.451,3.394,2.680,3.159,-1.803,2.832,1.628,3.570
10,10,3.655,-1.695,1.301,2.977,0.769,2.103,3.930,4.462,4.652,2.631,4.974,5.322,4.407,0.898,2.013,4.930,6.280,4.328,3.886,0.351,3.277,6.157,5.445,2.387,-0.066,5.735,7.002,4.410,-0.420,8.979,6.794,5.724,-1.173,0.660,4.060,3.152,0.898,3.106,4.428,4.611,3.646,5.571,4.625,3.644,5.999,5.696,2.655,5.020,3.914,3.075,6.947,5.942,1.477,0.018,7.048,5.939,-0.371,1.436,3.282,1.458,1.415,10.821
10,20,7.811,3.925,6.329,5.659,7.701,7.390,7.753,8.911,7.910,8.109,7.728,8.413,7.636,6.264,8.110,8.626,8.073,9.396,4.646,3.848,7.961,9.140,9.657,7.587,7.609,8.693,9.856,9.302,5.708,10.178,9.855,8.277,5.405,6.676,8.062,7.363,7.566,7.113,8.226,8.555,8.319,7.558,8.890,8.103,8.434,9.203,6.262,8.462,9.266,8.219,9.199,9.648,7.766,8.927,9.351,9.267,6.365,6.990,4.483,7.050,6.186,9.305
10,30,11.628,9.527,10.538,9.134,11.409,11.388,11.861,12.231,12.733,11.615,11.357,11.907,11.075,11.644,12.421,11.481,11.342,12.707,8.265,12.496,12.708,11.916,12.006,12.596,12.453,11.994,11.329,12.086,13.788,10.769,10.978,12.208,9.192,11.128,11.703,10.995,11.360,11.466,12.105,12.819,11.477,11.419,12.573,11.888,11.257,12.303,10.548,11.642,12.253,11.989,11.388,11.743,13.057,11.496,10.911,11.423,13.752,10.141,9.002,12.884,13.714,11.728
10,40,4.161,3.256,1.781,1.039,4.305,4.471,4.259,3.473,2.942,3.574,4.689,4.017,1.168,3.450,4.332,4.432,4.173,4.288,2.385,4.840,4.559,4.753,4.460,4.717,5.364,5.037,5.419,5.224,6.219,6.331,6.079,5.197,3.687,4.131,2.696,1.939,4.101,4.551,3.894,2.683,4.560,4.637,3.678,4.388,4.254,4.170,2.563,4.489,4.510,4.736,5.201,4.919,5.268,5.332,5.435,5.041,6.112,2.524,-1.822,5.203,4.352,6.354
10,50,-1.497,-1.088,-1.183,-1.498,-0.239,-0.373,-0.990,-0.676,-1.862,-0.797,-0.965,-0.755,-2.494,-2.217,-2.122,-0.951,-1.738,-0.654,-2.532,-2.120,-0.892,-1.452,-1.091,-2.135,-2.585,-2.265,-2.164,-2.123,-2.286,-2.641,-2.621,-2.028,1.516,-0.481,-0.543,-1.247,-0.346,-1.492,-0.595,-0.900,-0.744,-1.679,-0.723,-0.872,-1.765,-1.706,-2.492,-1.614,-1.343,-2.158,-1.730,-1.261,-1.868,-2.410,-2.349,-1.791,-1.723,-1.569,-1.512,-1.533,-2.338,-2.482
