Frequency,Harmonic,O1_plv,O1_angles,O2_plv,O2_angles,Oz_plv,Oz_angles,mean_plv,mean_phase
6,6,0.5396091599832278,-60.68799054714115,0.5749837110211399,-51.19726939984515,0.664639029183216,-46.21932802870579,0.5930773000625279,-52.69755929778589
6,12,0.7344804101384005,167.51410624412762,0.8512373947023314,166.5518533729801,0.8167154663764943,164.13435505030085,0.800811090405742,166.0668404509265
6,18,0.5429993988907483,-70.10383872144662,0.43400252172132825,-92.53884855840212,0.4634314035432055,-86.33518876995065,0.480144441385094,-83.01372063363823
6,24,0.45262044279773134,119.37677875149195,0.45351212857173895,119.75276832641065,0.4832814670703807,126.97303964800662,0.46313801281328365,122.03267327024756
6,30,0.116650566293586,-73.70259389402082,0.18305400821845888,-149.30341018854688,0.0932257511642722,-116.25480112592933,0.13097677522543905,-113.34427861200842
6,36,0.36304386850094955,-79.86463563347635,0.3756880201013622,-83.65113525804429,0.3768600121445737,-77.65878087006604,0.3718639669156285,-80.39127881070618
10,10,0.676116880008442,-58.534964677366965,0.8155651289665512,-95.67826063076448,0.7818843902153279,-86.7769686740384,0.7578554663967737,-80.44277548531248
10,20,0.5528952535955812,-73.35795954708523,0.3513840754238438,-79.75801179790376,0.45848872901305926,-63.27421769917826,0.45425601934416143,-72.13429644399133
10,30,0.02408810316435547,113.79407384525523,0.1254629514121308,-147.28392029906198,0.0220715073382666,-76.59836489803888,0.05720752063825096,-149.4361500510508
10,40,0.3040655951887082,-135.50644930504222,0.33434559302896044,-149.02333398005888,0.2542608189802746,-139.97497787857813,0.29755733573264775,-141.49807937279817
20,20,0.28420262175897587,77.81495851860785,0.5686635370453241,95.44141784483209,0.48152646476556543,88.64198833568317,0.4447975411899552,87.3047502226576
20,40,0.030635453086949926,-136.95363077022643,0.08149928058446702,-166.2970349588064,0.04531985949574343,-169.7031311444665,0.052484864389053455,-157.7635243955344
