previous,sample,freq,rep
0,13487,6,1
0,13687,6,1
0,13887,6,1
0,14087,6,1
0,14287,6,1
0,14487,6,1
0,14687,6,1
0,14887,6,1
0,15087,6,1
0,15287,6,1
0,15487,6,1
0,15687,6,1
0,15887,6,1
0,16087,6,1
0,16287,6,1
0,16487,6,1
0,16687,6,1
0,16887,6,1
0,17087,6,1
0,17287,6,1
0,17487,6,1
0,17687,6,1
0,17887,6,1
0,18087,6,1
0,18287,6,1
0,18487,6,1
0,18687,6,1
0,18887,6,1
0,19087,6,1
0,19287,6,1
0,19487,6,1
0,19687,6,1
0,19887,6,1
0,20087,6,1
0,20287,6,1
0,20487,6,1
0,20687,6,1
0,20887,6,1
0,21087,6,1
0,21287,6,1
0,21487,6,1
0,21687,6,1
0,21887,6,1
0,22087,6,1
0,22287,6,1
0,22487,6,1
0,22687,6,1
0,22887,6,1
0,23087,6,1
0,23287,6,1
0,23487,6,1
0,23687,6,1
0,23887,6,1
0,24087,6,1
0,24287,6,1
0,24487,6,1
0,24687,6,1
0,24887,6,1
0,25087,6,1
0,25287,6,1
0,25487,6,1
0,25687,6,1
0,25887,6,1
0,26087,6,1
0,26287,6,1
0,26487,6,1
0,26687,6,1
0,26887,6,1
0,27087,6,1
0,27287,6,1
0,27487,6,1
0,27687,6,1
0,27887,6,1
0,28087,6,1
0,28287,6,1
0,28487,6,1
0,28687,6,1
0,28887,6,1
0,29087,6,1
0,29287,6,1
0,29487,6,1
0,29687,6,1
0,29887,6,1
0,30087,6,1
0,30287,6,1
0,30487,6,1
0,30687,6,1
0,30887,6,1
0,31087,6,1
0,31287,6,1
0,31487,6,1
0,31687,6,1
0,31887,6,1
0,32087,6,1
0,32287,6,1
0,32487,6,1
0,32687,6,1
0,32887,6,1
0,33087,6,1
0,33287,6,1
0,13487,10,1
0,13687,10,1
0,13887,10,1
0,14087,10,1
0,14287,10,1
0,14487,10,1
0,14687,10,1
0,14887,10,1
0,15087,10,1
0,15287,10,1
0,15487,10,1
0,15687,10,1
0,15887,10,1
0,16087,10,1
0,16287,10,1
0,16487,10,1
0,16687,10,1
0,16887,10,1
0,17087,10,1
0,17287,10,1
0,17487,10,1
0,17687,10,1
0,17887,10,1
0,18087,10,1
0,18287,10,1
0,18487,10,1
0,18687,10,1
0,18887,10,1
0,19087,10,1
0,19287,10,1
0,19487,10,1
0,19687,10,1
0,19887,10,1
0,20087,10,1
0,20287,10,1
0,20487,10,1
0,20687,10,1
0,20887,10,1
0,21087,10,1
0,21287,10,1
0,21487,10,1
0,21687,10,1
0,21887,10,1
0,22087,10,1
0,22287,10,1
0,22487,10,1
0,22687,10,1
0,22887,10,1
0,23087,10,1
0,23287,10,1
0,23487,10,1
0,23687,10,1
0,23887,10,1
0,24087,10,1
0,24287,10,1
0,24487,10,1
0,24687,10,1
0,24887,10,1
0,25087,10,1
0,25287,10,1
0,25487,10,1
0,25687,10,1
0,25887,10,1
0,26087,10,1
0,26287,10,1
0,26487,10,1
0,26687,10,1
0,26887,10,1
0,27087,10,1
0,27287,10,1
0,27487,10,1
0,27687,10,1
0,27887,10,1
0,28087,10,1
0,28287,10,1
0,28487,10,1
0,28687,10,1
0,28887,10,1
0,29087,10,1
0,29287,10,1
0,29487,10,1
0,29687,10,1
0,29887,10,1
0,30087,10,1
0,30287,10,1
0,30487,10,1
0,30687,10,1
0,30887,10,1
0,31087,10,1
0,31287,10,1
0,31487,10,1
0,31687,10,1
0,31887,10,1
0,32087,10,1
0,32287,10,1
0,32487,10,1
0,32687,10,1
0,32887,10,1
0,33087,10,1
0,33287,10,1
0,13487,20,1
0,13687,20,1
0,13887,20,1
0,14087,20,1
0,14287,20,1
0,14487,20,1
0,14687,20,1
0,14887,20,1
0,15087,20,1
0,15287,20,1
0,15487,20,1
0,15687,20,1
0,15887,20,1
0,16087,20,1
